id,name,ratingdist1,pagesnumber,ratingdist4,ratingdisttotal,publishmonth,publishday,publisher,countsofreview,publishyear,language,authors,rating,ratingdist2,ratingdist5,isbn,ratingdist3,__title_norm__,removal_reason
13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",1:3443,815,4:75683,total:274268,30,4,Del Rey Books,4119,2002,eng,Douglas Adams,4.37,2:7613,5:157499,0345453743,3:30030,the ultimate hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1 5,duplicate_title
14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1:28636,215,4:396332,total:1350083,3,8,Crown,470,2004,eng,Douglas Adams,4.22,2:54163,5:682711,1400052920,3:188241,the hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1,duplicate_title
18,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",1:3443,815,4:75683,total:274268,17,1,Wings Books,194,1996,eng,Douglas Adams,4.37,2:7613,5:157499,0517149257,3:30030,the ultimate hitchhiker s guide hitchhiker s guide to the galaxy 1 5,duplicate_title
61,The Changeling,1:13,228,4:453,total:1365,8,6,iUniverse,97,2004,eng,Zilpha Keatley Snyder,4.17,2:48,5:611,0595321801,3:240,the changeling,duplicate_title
82,"The Second John McPhee Reader (John McPhee Reader, #2)",1:0,393,4:72,total:202,28,2,"Farrar, Straus and Giroux",1,1996,,John McPhee,4.37,2:2,5:103,0374256861,3:25,the second john mcphee reader john mcphee reader 2,duplicate_title
117,Heretics of Dune (Dune Chronicles #5),1:791,471,4:18351,total:51869,15,8,Ace Books,642,1987,eng,Frank Herbert,3.86,2:3445,5:15664,0441328008,3:13618,heretics of dune dune chronicles 5,duplicate_title
119,The Lord of the Rings: The Art of the Fellowship of the Ring,1:270,192,4:5579,total:28117,12,6,Houghton Mifflin Harcourt,102,2002,eng,Gary Russell,4.6,2:264,5:20057,0618212906,3:1947,the lord of the rings the art of the fellowship of the ring,duplicate_title
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,1:0,206,4:9,total:13,3,5,Citadel,2,2005,eng,Ruby Ann Boxcar,4.08,2:1,5:3,0806525363,3:0,ruby ann s down home trailer park bbqin cookbook,duplicate_title
163,The Untouchable,1:50,368,4:1104,total:2686,30,6,Vintage Books,218,1998,eng,John Banville,3.95,2:144,5:843,0679767479,3:545,the untouchable,duplicate_title
164,The Untouchables,1:14,256,4:267,total:684,1,2,Buccaneer Books,31,1996,eng,Eliot Ness,3.89,2:41,5:205,1568491980,3:157,the untouchables,duplicate_title
252,"Sexus (The Rosy Crucifixion, #1)",1:233,506,4:3050,total:8560,12,1,Grove Press,255,1994,eng,Henry Miller,3.98,2:506,5:3138,0802151809,3:1633,sexus the rosy crucifixion 1,duplicate_title
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,1:210,336,4:9591,total:25401,1,7,Turtleback Books,0,2003,eng,Douglas Adams,3.93,2:1291,5:7843,1417622857,3:6466,salmon of doubt hitchhiking the galaxy one last time,duplicate_title
516,Programming Ruby: The Pragmatic Programmer's Guide,1:23,564,4:801,total:1938,17,10,Addison-Wesley Professional,0,2000,,Dave Thomas,4.03,2:78,5:659,0201710897,3:377,programming ruby the pragmatic programmer s guide,duplicate_title
610,Grand Theft Auto: Vice City Stories Official Strategy Guide,1:0,240,4:2,total:16,30,10,BradyGames,0,2006,,Brady Games,4.5,2:0,5:11,0744008433,3:3,grand theft auto vice city stories official strategy guide,duplicate_title
868,"Fullmetal Alchemist, Vol. 3 (Fullmetal Alchemist, #3)",1:67,192,4:4288,total:17487,13,9,VIZ Media LLC,304,2005,eng,Hiromu Arakawa,4.5600000000000005,2:171,5:11638,1591169259,3:1323,fullmetal alchemist vol 3 fullmetal alchemist 3,duplicate_title
869,"Fullmetal Alchemist, Vol. 8 (Fullmetal Alchemist, #8)",1:58,192,4:2831,total:11979,18,7,VIZ Media LLC,159,2006,eng,Hiromu Arakawa,4.57,2:123,5:8092,1421504596,3:875,fullmetal alchemist vol 8 fullmetal alchemist 8,duplicate_title
870,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",1:1288,192,4:25561,total:114169,3,5,VIZ Media LLC,1447,2005,eng,Hiromu Arakawa,4.5,2:2121,5:75128,1591169208,3:10071,fullmetal alchemist vol 1 fullmetal alchemist 1,duplicate_title
871,"Fullmetal Alchemist, Vol. 4 (Fullmetal Alchemist, #4)",1:17,200,4:3003,total:11426,8,11,VIZ Media LLC,296,2005,eng,Hiromu Arakawa,4.55,2:97,5:7444,1591169291,3:865,fullmetal alchemist vol 4 fullmetal alchemist 4,duplicate_title
873,"Fullmetal Alchemist, Vol. 2 (Fullmetal Alchemist, #2)",1:50,192,4:4353,total:15766,5,7,VIZ Media LLC,430,2005,eng,Hiromu Arakawa,4.52,2:152,5:9940,1591169232,3:1271,fullmetal alchemist vol 2 fullmetal alchemist 2,duplicate_title
936,Memoirs Of A Geisha,1:26143,3,4:596547,total:1658024,3,1,,5,2006,eng,Arthur Golden,4.11,2:64958,5:682314,0007229577,3:288062,memoirs of a geisha,duplicate_title
972,"Da Vinci Code (Robert Langdon, #2)",1:76836,744,4:638116,total:1843585,3,5,Pocket,16,2005,fre,Dan Brown,3.84,2:138044,5:605134,2266144340,3:385455,da vinci code robert langdon 2,duplicate_title
1006,Think and Grow Rich!,1:4947,412,4:52820,total:191158,1,10,Aventine Press,25,2004,,Napoleon Hill,4.18,2:9101,5:96063,1593302002,3:28227,think and grow rich,duplicate_title
1236,In the Shadow of the Wind,1:34,192,4:231,total:679,31,1,House of Anansi Press,2,1994,,Anne Hébert,3.66,2:71,5:178,0887845568,3:165,in the shadow of the wind,duplicate_title
1242,A Million Little Pieces of Feces,1:5,256,4:21,total:43,10,2,Lulu.com,6,2006,en-US,Python Bonkers,3.56,2:5,5:9,1411677315,3:3,a million little pieces of feces,duplicate_title
1444,History of the Peloponnesian War: Bk. 5-6,1:1,400,4:10,total:44,1,1,Harvard University Press,0,1921,mul,Thucydides,4.36,2:0,5:26,0674991222,3:7,history of the peloponnesian war bk 5 6,duplicate_title
1459,"History of the Peloponnesian War, Bk. 7-8",1:0,480,4:9,total:39,1,1,Harvard University Press,0,1923,eng,Thucydides,4.31,2:0,5:21,0674991877,3:9,history of the peloponnesian war bk 7 8,duplicate_title
1519,"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides",1:391,335,4:12137,total:34744,7,2,Penguin Classics,593,1984,eng,Aeschylus,4.02,2:1702,5:12907,0140443339,3:7607,the oresteia agamemnon the libation bearers the eumenides,duplicate_title
1526,"Aeschylus, 1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides",1:391,178,4:12137,total:34744,1,11,University of Pennsylvania Press,3,1997,eng,Aeschylus,4.02,2:1702,5:12907,081221627X,3:7607,aeschylus 1 the oresteia agamemnon the libation bearers the eumenides,duplicate_title
1545,"Sophocles I: Oedipus the King, Oedipus at Colonus, Antigone (Complete Greek Tragedies)",1:798,212,4:19984,total:56875,1,5,,1,1970,,Sophocles,3.98,2:3010,5:20042,0671478125,3:13041,sophocles i oedipus the king oedipus at colonus antigone complete greek tragedies,duplicate_title
1557,Sophocles 1: Ajax/Women of Trachis/Electra/Philoctetes,1:49,296,4:1844,total:5674,1,5,University of Pennsylvania Press,1,1998,,Sophocles,4.14,2:204,5:2464,0812216539,3:1113,sophocles 1 ajax women of trachis electra philoctetes,duplicate_title
1694,The Confessions of Saint Augustine,1:1484,13,4:13449,total:43336,1,5,Hovel Audio,3,2006,,Augustine of Hippo,3.92,2:3049,5:16312,1596443588,3:9042,the confessions of saint augustine,duplicate_title
1705,Confessions,1:1484,353,4:13449,total:43336,31,1,Penguin Classics,14,2006,eng,Augustine of Hippo,3.92,2:3049,5:16312,,3:9042,confessions,duplicate_title
1935,"Little Women (Little Women, #1)",1:36577,536,4:514495,total:1595807,1,10,Sterling,132,2004,eng,Louisa May Alcott,4.08,2:79377,5:676930,1402714580,3:288428,little women little women 1,duplicate_title
2001,J.K. Rowling,1:4,32,4:17,total:97,1,2,Mitchell Lane Publishers,1,2005,,Ann Gaines,4.12,2:6,5:53,1584153253,3:17,j k rowling,duplicate_title
