Cluster,Tamanho,% Total,Top Autor,Autor (%),Autores Únicos,Língua,Língua (%),Ano Médio,Período,Top Publisher,Exemplo
0,4050,7.3%,Marilyn Herbert,0%,3505,unknown,79%,1999,1936-2019,Routledge,In a Sunburned Country
1,1189,2.1%,Pimsleur Language Programs,1%,1071,unknown,80%,2000,1964-2016,University Press of Mississipp,Agile Web Development with Rails: A Pragmatic Guid...
2,580,1.0%,Rumiko Takahashi,2%,414,unknown,65%,2000,1944-2017,VIZ Media LLC,Best of Ruby Quiz Volume One
3,19158,34.5%,Harold Bloom,0%,12075,unknown,87%,2000,1900-2019,"Oxford University Press, USA",Hatchet Jobs: Writings on Contemporary Fiction
4,6584,11.9%,J.R.R. Tolkien,0%,4803,unknown,66%,1999,162-2020,"Oxford University Press, USA",Harry Potter and the Order of the Phoenix (Harry P...
5,4660,8.4%,Noam Chomsky,0%,3995,unknown,81%,1999,1943-2020,Routledge,Harry Potter and the Half-Blood Prince (Harry Pott...
6,2248,4.1%,Sue Grafton,1%,1981,unknown,81%,2001,1934-2019,For Dummies,Ruby Quickly: Ruby and Rails for the Real World
7,4298,7.7%,Stephen King,0%,2796,unknown,51%,1999,1900-2019,Penguin Books,The Changeling Sea
8,3952,7.1%,Cook's Illustrated Magazine,0%,3412,unknown,81%,2000,1931-2019,Cambridge University Press,The Ultimate Hitchhiker's Guide: Five Complete Nov...
9,8783,15.8%,William Shakespeare,0%,4539,eng,100%,2000,1913-2020,Vintage,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #..."
