title,author,language,year,publisher,id,language_encoded,cluster_kmeans,cluster_dbscan,cluster_hierarchical
On Love,Alain de Botton,eng,2006,Grove Press,23426,6,9,-1,1
Ghost Stories (Nancy Drew),Carolyn Keene,eng,1989,Aladdin,35848,6,9,0,1
"Moomin: The Complete Tove Jansson Comic Strip, Vol. 1",Tove Jansson,eng,2006,Drawn and Quarterly,79548,6,9,0,1
"His Excellency (Les Rougon-Macquart, #6)",Émile Zola,eng,2006,MONDIAL,28411,6,9,0,1
Gender Trouble by Butler,Judith  Butler,eng,2006,Cram101,85768,6,9,0,1
Southwest France (Lonely Planet Regional Guide),Julia  Wilkinson,eng,2002,unknown,19882,6,9,0,2
"The Black Mountain (Nero Wolfe, #24)",Rex Stout,eng,2011,Crimeline,77595,6,9,0,1
Ten Things I Wish I'd Known--Before I Went Out Into the Real World,Maria Shriver,eng,2000,Warner Books,46195,6,9,0,1
"Architecture: Form, Space, & Order",Francis D.K. Ching,eng,1996,Wiley,70133,6,9,1,1
Iberia,James A. Michener,eng,1984,Fawcett Crest Books,12664,6,9,1,1
A Short History of World War II,James L. Stokesbury,eng,1980,William Morrow Paperbacks,8915,6,9,-1,1
Never Far From Nowhere,Andrea Levy,eng,1996,Tinder Press,44002,6,9,0,1
Perfume: The Story of a Murderer,Patrick Süskind,eng,2001,Vintage International,2895,6,9,0,1
Blood Moon Over Bengal,Morag McKendrick Pippin,eng,2004,Leisure Books,21768,6,9,1,1
"Shotgun Bride (McKettricks, #2)",Linda Lael Miller,eng,2003,Pocket Star,59957,6,9,1,1
Could Do Better: Why Children Underachieve and What to Do About It,Harvey P. Mandel,eng,1996,Wiley,19156,6,9,0,1
"Magic Casement (A Man of His Word, #1)",Dave Duncan,eng,2002,eReads.com,57691,6,9,0,1
"Our Bodies, Ourselves: Menopause",Judy Norsigian,eng,2006,Atria Books,97867,6,9,1,1
Monsieur Monde Vanishes,Georges Simenon,eng,2004,New York Review of Books,63462,6,9,1,1
On Christian Belief (Works of Saint Augustine),Augustine of Hippo,eng,2005,New City Press,27674,6,9,0,9
