cluster,size,percentage,top_author,top_language,avg_year,year_range
0,4050,7.297034341104824,Marilyn Herbert,unknown,1999.0587654320987,1936-2019
1,1189,2.142265143598429,Pimsleur Language Programs,unknown,2000.322119428091,1964-2016
2,580,1.045007387121185,Rumiko Takahashi,unknown,1999.703448275862,1944-2017
3,19158,34.517675038737345,Harold Bloom,unknown,1999.63237289905,1900-2019
4,6584,11.862635580699795,J.R.R. Tolkien,unknown,1998.6295565006076,162-2020
5,4660,8.396093834456416,Noam Chomsky,unknown,1999.2281115879828,1943-2020
6,2248,4.0503044935317645,Sue Grafton,unknown,2000.5324733096086,1934-2019
7,4298,7.743865085942849,Stephen King,unknown,1999.3736621684504,1900-2019
8,3952,7.120464127418832,Cook's Illustrated Magazine,unknown,2000.4587550607287,1931-2019
9,8783,15.824654967388563,William Shakespeare,eng,1999.894227484914,1913-2020
