id,name,ratingdist1,pagesnumber,ratingdist4,ratingdisttotal,publishmonth,publishday,publisher,countsofreview,publishyear,language,authors,rating,ratingdist2,ratingdist5,isbn,ratingdist3,isbn_clean,isbn_length,is_isbn10,is_isbn13,is_valid
85956,"Everyone Comes to Elaine's: Forty Years of Movie Stars, All-Stars, Literary Lions, Financial Scions, Top Cops, Politicians, and Power Brokers at the Legendary Hot Spot",1:0,256,4:10,total:28,30,3,It Books,5,2004,en-US,A.E. Hotchner,3.5700000000000003,2:4,5:5,006053818X,3:9,006053818X,10,True,False,True
85956,"Everyone Comes to Elaine's: Forty Years of Movie Stars, All-Stars, Literary Lions, Financial Scions, Top Cops, Politicians, and Power Brokers at the Legendary Hot Spot",1:0,256,4:10,total:28,30,3,It Books,5,2004,en-US,A.E. Hotchner,3.5700000000000003,2:4,5:5,006053818X,3:9,006053818X,10,True,False,True
76773,The God We Never Knew: Beyond Dogmatic Religion to a More Authentic Contemporary Faith,1:7,192,4:279,total:749,19,5,HarperOne,65,2015,,Marcus J. Borg,4.21,2:25,5:335,0060610352,3:103,0060610352,10,True,False,True
76773,The God We Never Knew: Beyond Dogmatic Religion to a More Authentic Contemporary Faith,1:7,192,4:279,total:749,19,5,HarperOne,65,2015,,Marcus J. Borg,4.21,2:25,5:335,0060610352,3:103,0060610352,10,True,False,True
76809,Wishful Thinking: A Theological ABC,1:3,144,4:359,total:1028,24,9,HarperOne,63,1993,,Frederick Buechner,4.29,2:25,5:497,0060611391,3:144,0060611391,10,True,False,True
76809,Wishful Thinking: A Theological ABC,1:3,144,4:359,total:1028,24,9,HarperOne,63,1993,,Frederick Buechner,4.29,2:25,5:497,0060611391,3:144,0060611391,10,True,False,True
76805,Peculiar Treasures,1:2,205,4:145,total:395,30,9,HarperOne,25,1993,eng,Frederick Buechner,4.18,2:13,5:170,0060611413,3:65,0060611413,10,True,False,True
76805,Peculiar Treasures,1:2,205,4:146,total:396,30,9,HarperOne,25,1993,eng,Frederick Buechner,4.18,2:13,5:170,0060611413,3:65,0060611413,10,True,False,True
76808,"Telling the Truth: The Gospel as Tragedy, Comedy, and Fairy Tale",1:37,112,4:949,total:2942,5,5,HarperOne,196,2009,en-US,Frederick Buechner,4.32,2:75,5:1544,0060611561,3:337,0060611561,10,True,False,True
76808,"Telling the Truth: The Gospel as Tragedy, Comedy, and Fairy Tale",1:37,112,4:947,total:2937,5,5,HarperOne,196,2009,en-US,Frederick Buechner,4.32,2:75,5:1541,0060611561,3:337,0060611561,10,True,False,True
76810,The Wizard's Tide,1:0,104,4:58,total:179,1,5,HarperCollins Publishers,10,1990,,Frederick Buechner,3.74,2:17,5:46,006061160X,3:58,006061160X,10,True,False,True
76810,The Wizard's Tide,1:0,104,4:57,total:178,1,5,HarperCollins Publishers,10,1990,,Frederick Buechner,3.74,2:17,5:46,006061160X,3:58,006061160X,10,True,False,True
76802,Godric,1:25,178,4:646,total:1846,22,12,HarperOne,204,1999,eng,Frederick Buechner,4.18,2:71,5:830,0060611626,3:274,0060611626,10,True,False,True
76802,Godric,1:25,178,4:646,total:1848,22,12,HarperOne,204,1999,eng,Frederick Buechner,4.18,2:71,5:832,0060611626,3:274,0060611626,10,True,False,True
76804,The Magnificent Defeat,1:4,144,4:251,total:642,8,5,HarperOne,33,1985,,Frederick Buechner,4.34,2:13,5:315,006061174X,3:59,006061174X,10,True,False,True
76804,The Magnificent Defeat,1:4,144,4:251,total:642,8,5,HarperOne,33,1985,,Frederick Buechner,4.34,2:13,5:315,006061174X,3:59,006061174X,10,True,False,True
76803,The Hungering Dark,1:1,128,4:187,total:488,8,5,HarperOne,35,1985,,Frederick Buechner,4.35,2:9,5:241,0060611758,3:50,0060611758,10,True,False,True
76803,The Hungering Dark,1:1,128,4:187,total:487,8,5,HarperOne,35,1985,,Frederick Buechner,4.35,2:9,5:240,0060611758,3:50,0060611758,10,True,False,True
76801,Brendan,1:5,256,4:237,total:563,16,5,HarperOne,58,2000,,Frederick Buechner,3.92,2:29,5:159,0060611782,3:133,0060611782,10,True,False,True
76801,Brendan,1:5,256,4:237,total:563,16,5,HarperOne,58,2000,,Frederick Buechner,3.92,2:29,5:159,0060611782,3:133,0060611782,10,True,False,True
76888,The Birth of Christianity,1:8,688,4:121,total:315,24,3,HarperOne,13,1998,en-US,John Dominic Crossan,3.83,2:24,5:91,0060616598,3:71,0060616598,10,True,False,True
