id,name,ratingdist1,pagesnumber,ratingdist4,ratingdisttotal,publishmonth,publishday,publisher,countsofreview,publishyear,language,authors,rating,ratingdist2,ratingdist5,isbn,ratingdist3,isbn_clean,isbn_length,is_isbn10,is_isbn13,is_valid
3507,"Twelve Sharp (Stephanie Plum, #12)",1:291,310,4:34289,total:88048,20,6,St. Martin's Press,1932,2006,eng,Janet Evanovich,4.15,2:1916,5:34654,0312349486,3:16898,0312349486,10,False,False,False
5779,Art to Choke Hearts and Pissing in the Gene,1:0,254,4:137,total:366,12,12,2.13.61 Publications,1,1996,,Henry Rollins,3.88,2:22,5:103,188098510,3:104,188098510,9,False,False,False
11436,"Rejoice (Redemption, #4)",1:50,344,4:3832,total:13436,22,3,Tyndale House Publishers,203,2004,eng,Karen Kingsbury,4.46,2:160,5:8020,084386874,3:1374,084386874,9,False,False,False
12833,Bookclub in a Box Discusses the Novel The Corrections,1:2,80,4:10,total:28,24,4,Bookclub-In-A-Box,3,2006,,Marilyn Herbert,3.82,2:1,5:9,189708210x,3:6,189708210,9,False,False,False
19062,"Getting the Girl (Wolfe Brothers, #3)",1:151,256,4:2108,total:6002,1,6,Push,388,2004,eng,Markus Zusak,3.7,2:509,5:1459,043938950x,3:1775,043938950,9,False,False,False
24774,Clockwork,1:97,144,4:2404,total:6388,1,5,Scholastic,416,2006,,Philip Pullman,3.87,2:349,5:1842,043985623x,3:1696,043985623,9,False,False,False
29531,The Bait Of Satan: Living Free from the Deadly Trap of Offense,1:87,255,4:1907,total:7878,24,5,Charisma House,365,2004,,John Bevere,4.46,2:181,5:4981,1591854135,3:722,1591854135,10,False,False,False
37063,The Gospel of Filth: A Bible of Decadence & Darkness,1:2,544,4:30,total:148,5,2,Fab Press,6,2010,eng,Gavin Baddeley,4.44,2:5,5:96,9781903254,3:15,9781903254,10,False,False,False
41824,"The Currents of Space (Galactic Empire, #2)",1:79,192,4:5469,total:13572,1,1,Fawcett crest,3,1952,eng,Isaac Asimov,3.83,2:601,5:3311,4490249512,3:4112,4490249512,10,False,False,False
48079,Las Cenizas de Angela (Angela's Ashes): Una Memoria,1:9751,400,4:187041,total:518223,3,3,Maeva,1,1999,,Alejandro Pareja,4.11,2:21713,5:214095,8486478698,3:85623,8486478698,10,False,False,False
50664,Writing In An Age Of Silence,1:5,138,4:114,total:299,17,5,Verso,60,2007,eng,Sara Paretsky,3.88,2:25,5:92,1844671229,3:63,1844671229,10,False,False,False
69853,Hijo de hombre,1:4,416,4:124,total:354,14,3,Alfaguara,2,1997,spa,Augusto Roa Bastos,4.12,2:16,5:149,842048363x,3:61,842048363,9,False,False,False
71632,Along Came a Spider,1:5680,435,4:140732,total:385749,1,3,HarperCollins,25,1994,,James Patterson,4.1,2:13302,5:154837,0006476153,3:71198,0006476153,10,False,False,False
71860,Paris Era una Fiesta = Moveable Feast,1:1580,208,4:42499,total:111438,23,6,Editorial Seix Barral,5,1997,,Ernest Hemingway,4.04,2:4889,5:40708,843223009x,3:21762,843223009,9,False,False,False
87244,El club Dumas,1:656,452,4:12779,total:33004,2,1,"Círculo de Lectores, S.A.",2,1994,spa,Arturo Pérez-Reverte,3.81,2:2361,5:8873,842264892x,3:8335,842264892,9,False,False,False
94664,"Great Directors at Work: Stanislavsky, Brecht, Kazan, Brook",1:0,380,4:3,total:12,23,10,University of California Press,0,1987,,David Richard Jones,3.92,2:2,5:5,0520061749,3:2,0520061749,10,False,False,False
