cluster_id,size,members
866.0,19,"[866, 868, 869, 870, 871, 873, 9325, 9326, 23506, 26422, 26425, 26426, 37052, 37053, 37054, 37055, 44734, 82637, 82638]"
74949.0,15,"[74930, 74931, 74932, 74933, 74934, 74935, 74949, 74952, 74959, 74965, 74967, 74971, 74975, 74978, 74980]"
23708.0,11,"[23702, 23703, 23704, 23706, 23707, 23708, 23709, 23710, 23711, 41340, 41344]"
13026.0,10,"[13026, 13232, 13239, 17722, 24217, 24220, 70453, 83344, 83345, 87271]"
13731.0,10,"[2879, 2881, 2882, 2883, 13727, 13728, 13729, 13730, 13731, 13733]"
13568.0,9,"[13568, 13569, 13570, 13571, 13575, 13576, 13577, 13578, 13579]"
69547.0,9,"[44997, 69539, 69543, 69545, 69547, 69548, 69549, 69550, 95863]"
15592.0,9,"[15592, 43423, 43433, 43437, 43438, 43439, 43442, 52992, 52993]"
24956.0,9,"[12, 13, 14, 18, 17059, 24956, 64121, 79259, 79260]"
17434.0,8,"[17434, 17435, 17437, 17438, 17439, 17443, 17446, 17453]"
13720.0,8,"[13717, 13718, 13719, 13720, 13721, 13722, 13724, 13725]"
8140.0,8,"[8127, 8130, 8133, 8140, 8144, 30691, 77390, 95697]"
77045.0,8,"[35116, 35120, 35182, 35186, 35187, 77045, 77047, 77048]"
13016.0,8,"[13016, 13017, 13019, 13020, 32398, 32399, 32400, 32401]"
99203.0,7,"[53297, 54751, 99201, 99203, 99205, 99206, 99207]"
36286.0,7,"[36283, 36286, 36287, 36288, 36289, 36290, 36291]"
3589.0,7,"[3589, 3590, 3597, 33161, 76216, 76240, 76253]"
99983.0,7,"[22437, 31553, 99983, 99990, 99991, 99992, 99993]"
29150.0,7,"[29150, 29151, 29152, 29153, 29154, 29155, 29156]"
22709.0,6,"[22704, 22705, 22707, 22709, 22710, 22715]"
22428.0,6,"[22428, 22430, 41226, 41227, 43422, 84688]"
25849.0,6,"[25848, 25849, 25850, 25852, 25853, 25855]"
23685.0,6,"[23685, 23689, 23692, 23693, 32186, 41342]"
84624.0,6,"[84624, 84629, 84651, 84665, 84670, 84676]"
21099.0,6,"[6932, 21099, 21103, 56682, 56684, 56685]"
34426.0,6,"[6294, 6299, 34426, 34427, 34430, 68011]"
85994.0,6,"[85994, 85995, 85997, 85994, 85995, 85997]"
93370.0,6,"[93370, 93371, 93372, 93374, 93375, 93376]"
759.0,5,"[759, 12577, 83431, 97380, 99283]"
14472.0,5,"[14472, 14474, 14476, 14480, 14481]"
17279.0,5,"[17276, 17277, 17279, 17280, 35111]"
43544.0,5,"[43544, 51495, 51497, 51501, 51503]"
23720.0,5,"[23720, 23721, 23722, 23724, 23746]"
14466.0,5,"[14466, 31625, 40485, 40488, 92401]"
13583.0,5,"[13583, 13584, 13585, 13586, 13587]"
25919.0,5,"[25919, 25921, 25922, 25923, 25924]"
23686.0,5,"[23686, 23687, 23688, 23690, 23691]"
48506.0,5,"[48506, 48508, 48512, 48513, 48516]"
46758.0,5,"[46758, 68114, 68135, 68137, 87794]"
1618.0,5,"[1618, 3438, 3439, 22172, 89312]"
1689.0,5,"[1689, 1705, 26244, 87532, 87621]"
31043.0,5,"[31043, 31044, 31045, 31046, 31047]"
32328.0,5,"[32328, 32329, 32330, 32331, 32332]"
22795.0,5,"[22792, 22795, 22797, 22806, 22814]"
21545.0,5,"[21545, 21665, 21703, 32615, 93239]"
21992.0,5,"[21992, 24928, 27260, 48642, 53281]"
58822.0,5,"[52471, 58822, 58823, 58825, 58826]"
16799.0,4,"[16799, 44507, 99982, 99997]"
17423.0,4,"[17423, 17426, 17428, 17431]"
85936.0,4,"[85936, 85942, 85936, 85942]"
18322.0,4,"[18322, 51747, 84478, 90587]"
11225.0,4,"[11225, 11226, 88244, 92284]"
77806.0,4,"[77806, 77809, 77811, 87502]"
10829.0,4,"[10821, 10829, 29860, 29863]"
464.0,4,"[464, 75504, 90049, 98945]"
62418.0,4,"[62418, 62420, 89299, 89304]"
66682.0,4,"[66682, 66696, 68406, 68415]"
64397.0,4,"[64396, 64397, 64406, 77153]"
62310.0,4,"[62310, 62315, 62322, 62327]"
5129.0,4,"[5129, 5479, 5480, 5481]"
13223.0,4,"[13223, 18529, 80986, 89220]"
