id_a,id_b,cosine_similarity,title_norm_a,title_a,title_norm_b,title_b
1,70367,1.0,harry potter and the half blood prince harry potter 6,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",harry potter and the half blood prince harry potter 6,"Harry Potter and the Half-blood Prince (Harry Potter, #6)"
1,93124,1.0,harry potter and the half blood prince harry potter 6,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",harry potter and the half blood prince harry potter 6,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
2,77522,0.9999999999999998,harry potter and the order of the phoenix harry potter 5,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",harry potter and the order of the phoenix harry potter 5,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
2,70356,0.875292176719872,harry potter and the order of the phoenix harry potter 5,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",harry potter and the order of the phoenix,Harry Potter and the Order of the Phoenix
3,77523,0.9021822002862239,harry potter and the sorcerer s stone harry potter 1,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",harry potter and the sorcerer s stone,Harry Potter and the Sorcerer's Stone
12,18,0.8637408110268122,the ultimate hitchhiker s guide five complete novels and one story hitchhiker s guide to the galaxy 1 5,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",the ultimate hitchhiker s guide hitchhiker s guide to the galaxy 1 5,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)"
13,14,0.9436930571785509,the ultimate hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1 5,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",the hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
13,18,0.9309025197956081,the ultimate hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1 5,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",the ultimate hitchhiker s guide hitchhiker s guide to the galaxy 1 5,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)"
13,79260,0.8860227653026065,the ultimate hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1 5,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",the hitchhiker s guide to the galaxy hitchhiker s guide 1,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)"
13,79259,0.8860227653026065,the ultimate hitchhiker s guide to the galaxy hitchhiker s guide to the galaxy 1 5,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",the hitchhiker s guide to the galaxy hitchhiker s guide 1,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide #1)
